"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2331NEW037",NA,NA,"Borehole",36.9,2.1,"Bedrock Met",1969-10-09,250090,325940,"to 1km","CLONES",NA,"Monaghan",11,NA,"Good",NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NERDO 11/16?, small well card",NA,NA
"2","2331NEW038",NA,NA,"Borehole",53.3,24,"Bedrock Met",1971-02-01,250090,325900,"to 1km","CLONES",NA,"Monaghan",11,NA,"Good",NA,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NERDO 11/16?, small well card
DtB inferred from casing",NA,NA
"3","2331NEW151",NA,NA,"Borehole",33.5,15.2,"Bedrock Met",1970-01-10,250050,325760,"to 1km","CLONES",NA,"Monaghan",11,NA,"Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2331NEW152",NA,NA,"Borehole",30.5,15.8,"Bedrock Met",1970-12-03,250040,325720,"to 1km","TEEHILL",NA,"Monaghan",11,"Industrial use","Good",NA,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2331NEW153",NA,NA,"Borehole",61,24.4,"Bedrock Met",NA,249990,325110,"to 1km","TEEHILL",NA,"Monaghan",11,"Industrial use","Good",NA,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2331NEW154",NA,NA,"Borehole",35.7,4.3,"Bedrock Met",1970-07-20,255760,328740,"to 1km","TIRCOONEY",NA,"Monaghan",12,NA,"Moderate",NA,65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2331NEW155",NA,NA,"Borehole",24.4,15.5,"Bedrock Met",NA,252710,327930,"to 1km","CREEVAGHY",NA,"Monaghan",12,NA,"Moderate",NA,49.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2331NEW156",NA,NA,"Borehole",19.8,11.6,"Bedrock Met",NA,252710,327340,"to 1km","LEGNAKELLY",NA,"Monaghan",12,NA,"Poor",NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2331NEW157",NA,NA,"Dug well",3.1,NA,"Bedrock Not Met",1962-08-16,254950,328160,"to 1km","GRANSHA MORE",NA,"Monaghan",12,NA,"Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/MON 927, WTB/MON 411",NA,NA
"10","2331NEW158",NA,NA,"Dug well",2.4,NA,"Bedrock Not Met",1967-03-27,255770,327520,"to 1km","CONAGHY",NA,"Monaghan",12,NA,"Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 1011",NA,NA
"11","2331NEW160",NA,NA,"Dug well",4.3,NA,"Bedrock Not Met",1970-07-06,259460,327170,"to 1km","TATTYNAGALL",NA,"Monaghan",12,NA,"Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2331NEW161",NA,NA,"Dug well",3.1,NA,"DTB Unknown",1967-04-24,258840,326430,"to 1km","CASHLAN",NA,"Monaghan",12,NA,"Poor",NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 1031",NA,NA
"13","2331NEW162",NA,NA,"Dug well",1.2,NA,"DTB Unknown",1967-05-11,259790,325750,"to 1km","GARRAN",NA,"Monaghan",12,NA,"Poor",NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 1178",NA,NA
"14","2331NEW163",NA,NA,"Dug well",4.9,NA,"DTB Unknown",1971-08-02,259770,325170,"to 1km","CORRAMEGAN",NA,"Monaghan",12,NA,"Poor",NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rock soft",NA,NA
"15","2331NEW165",NA,NA,"Borehole",22.9,NA,"DTB Unknown",1966-09-22,245740,321360,"to 1km","CLONSHANVO",NA,"Monaghan",16,NA,"Moderate",NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 1171",NA,NA
"16","2331NEW168",NA,NA,"Borehole",33.3,13.5,"Bedrock Met",1969-08-29,253390,321800,"to 1km","CROSSBANE",NA,"Monaghan",17,NA,"Poor",NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DtB infererd from casing depth, 13.7m",NA,NA
"17","2331NEW169",NA,NA,"Dug well",3.1,NA,"DTB Unknown",1971-08-11,255450,321500,"to 1km","TULLYARD",NA,"Monaghan",17,NA,"Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2331NEW172",NA,NA,"Dug well",5.5,NA,"Bedrock Not Met",1971-07-10,259650,324690,"to 1km","DRUMGARLY",NA,"Monaghan",17,NA,"Poor",NA,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2331NEW173",NA,NA,"Dug well",3.7,NA,"DTB Unknown",NA,257420,323650,"to 1km","DRUMSHANNON",NA,"Monaghan",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESB ref 17/3/93",NA,NA
"20","2331SEW025",NA,NA,"Borehole",56,21,"Bedrock Met",NA,253690,316640,"to 1km","KILLYNENAGH",NA,"Monaghan",22,NA,"Poor",NA,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NERDO 22/6b11  ORDOVICIAN",NA,NA
"21","2331SEW030",NA,NA,"Dug well",3.7,NA,"DTB Unknown",1967-03-06,249440,318800,"to 1km","DUNSRIM",NA,"Monaghan",16,NA,"Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 1209",NA,NA
"22","2331SEW034",NA,NA,"Dug well",3.7,NA,"DTB Unknown",1967-04-25,248530,318100,"to 1km","CORRACKAN",NA,"Monaghan",21,NA,"Poor",NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blue rock. W/MON 841",NA,NA
"23","2331SEW035",NA,NA,"Dug well",2.4,NA,"DTB Unknown",1967-02-16,258590,317260,"to 1km","DRUMANNY",NA,"Monaghan",22,NA,"Moderate",NA,54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 677",NA,NA
"24","2331SEW037",NA,NA,"Borehole",21.3,21.3,"Bedrock Presumed",1969-07-22,257640,316820,"to 1km","CROSSLEA",NA,"Monaghan",22,NA,"Moderate","III",87.3,NA,NA,8.2,10.6,NA,NA,NA,NA,NA,NA,"WTB/MON 1822",NA,NA
"25","2331SEW038",NA,NA,"Dug well",2.4,NA,"Bedrock Not Met",1971-08-08,246490,318490,"to 1km","ANNAGHEANE",NA,"Monaghan",21,NA,"Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2333SEW050",NA,NA,"Dug well",3.7,NA,"Bedrock Not Met",1962-10-30,256030,339020,"to 1km","KNOCKATALLAN",NA,"Monaghan",5,NA,"Poor",NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLUE MARL. W/MON 997",NA,NA
"27","2333SEW051",NA,NA,"Dug well",5.2,NA,"Bedrock Not Met",1961-09-29,259230,337820,"to 1km","BOUGHKEEL",NA,"Monaghan",8,NA,"Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/MON 767",NA,NA
"28","2333SEW052",NA,NA,"Borehole",38.1,NA,"DTB Unknown",1972-09-15,256350,335970,"to 1km","DERRYLEEDIGAN",NA,"Monaghan",8,NA,"Poor",NA,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2333SEW053",NA,NA,"Borehole",36.6,NA,"DTB Unknown",1969-08-20,256350,335970,"to 1km","DERRYLEEDIGAN",NA,"Monaghan",8,NA,"Poor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2333SEW054",NA,NA,"Borehole",47,NA,"DTB Unknown",1970-12-01,258070,330220,"to 1km","MAGHERARNY",NA,"Monaghan",12,NA,"Poor",NA,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 2214",NA,NA
"31","2333SEW055",NA,NA,"Borehole",30.5,NA,"Bedrock Not Met",1965-08-30,257160,330110,"to 1km","LISGALL",NA,"Monaghan",12,NA,"Poor",NA,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 735. LIMESTONE",NA,NA
"32","2333SEW056",NA,NA,"Borehole",47.2,6.1,"Bedrock Not Met",NA,258080,331210,"to 1km","CORHOLLAN",NA,"Monaghan",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2333SEW090",NA,NA,"Borehole",38.1,19.1,"Bedrock Met",1969-08-20,256730,335710,"to 1km","DERRYLEEDIGAN",NA,"Monaghan",8,"Agri & domestic use","Poor",NA,14.2,NA,NA,NA,NA,508,NA,NA,NA,NA,NA,NA,NA,"6 hr test"
"34","2629NEW085",NA,NA,"Dug well",1.2,0.3,"Bedrock Met",NA,276430,308510,"to 1km","UMMERAFREE",NA,"Monaghan",27,NA,"Poor",NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/MON 760",NA,NA
"35","2629NEW086",NA,NA,"Dug well",4.6,NA,"Bedrock Not Met",1973-01-23,279870,308610,"to 1km","GREAGHNAROOG",NA,"Monaghan",27,NA,"Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2629NEW088",NA,NA,"Dug well",3.7,NA,"Bedrock Not Met",1972-03-06,279370,306240,"to 1km","FARTAGORMAN",NA,"Monaghan",27,NA,"Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2629NEW089",NA,NA,"Borehole",22.6,NA,"Bedrock Not Met",1971-12-10,287720,309890,"to 1km","LISNAMOYLE OTRA",NA,"Monaghan",28,NA,"Moderate",NA,46.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2629NEW090",NA,NA,"Borehole",21.3,16.8,"Bedrock Met",1970-10-16,287740,309830,"to 1km","LISNAMOYLE OTRA",NA,"Monaghan",28,NA,"Moderate",NA,49.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2629NEW091",NA,NA,"Borehole",39.6,NA,"Bedrock Not Met",1963-11-23,286320,309910,"to 1km","CORRYAGAN",NA,"Monaghan",28,NA,"Poor",NA,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/MON 683",NA,NA
"40","2629NEW092",NA,NA,"Dug well",3.1,NA,"Bedrock Not Met",1963-04-06,281640,309300,"to 1km","LISDOONAN",NA,"Monaghan",28,NA,"Poor",NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/MON 819",NA,NA
"41","2629NEW093",NA,NA,"Borehole",19.5,NA,"Bedrock Not Met",1971-02-26,286720,308780,"to 1km","LURGANBOYS",NA,"Monaghan",28,NA,"Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 933",NA,NA
"42","2629NEW094",NA,NA,"Borehole",67.1,NA,"DTB Unknown",1965-07-06,284090,308650,"to 1km","LISNAGUNNION",NA,"Monaghan",28,NA,"Poor",NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/MON 349, WTB/MON 751",NA,NA
"43","2629NEW095",NA,NA,"Dug well",16.2,9.8,"Bedrock Met",1962-08-17,285370,308430,"to 1km","GARRIFLY",NA,"Monaghan",28,NA,"Poor",NA,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/MON 410",NA,NA
"44","2629NEW096",NA,NA,"Dug well",1.8,NA,"Bedrock Not Met",1972-01-07,280720,308120,"to 1km","PEAST",NA,"Monaghan",28,NA,"Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2629NEW097",NA,NA,"Borehole",9.8,NA,"DTB Unknown",1973-07-24,280720,308080,"to 1km","PEAST",NA,"Monaghan",28,NA,"Poor",NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 2361",NA,NA
"46","2629NEW098",NA,NA,"Dug well",2.4,NA,"Bedrock Not Met",1964-05-01,281460,307380,"to 1km","GREAGHDRUMNEESK",NA,"Monaghan",28,NA,"Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/MON 622",NA,NA
"47","2629NEW099",NA,NA,"Dug well",5.2,NA,"Bedrock Not Met",1962-11-05,281460,307330,"to 1km","GREAGHDRUMNEESK",NA,"Monaghan",28,NA,"Poor",NA,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/MON 816",NA,NA
"48","2629NEW100",NA,NA,"Borehole",9.5,NA,"Bedrock Not Met",1972-01-10,281450,307280,"to 1km","GREAGHDRUMNEESK",NA,"Monaghan",28,NA,"Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2629NEW102",NA,NA,"Dug well",1.2,NA,"Bedrock Not Met",1962-06-14,287170,307240,"to 1km","DUNANNY",NA,"Monaghan",28,NA,"Poor",NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/MON 600",NA,NA
"50","2629NEW104",NA,NA,"Borehole",39.6,NA,"DTB Unknown",1973-01-22,287470,307940,"to 1km","FEEGAVLA",NA,"Monaghan",28,NA,"Poor",NA,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2629NEW105",NA,NA,"Borehole",33.2,NA,"Bedrock Not Met",1971-05-18,287470,307890,"to 1km","FEEGAVLA",NA,"Monaghan",28,NA,"Poor",NA,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 1929",NA,NA
"52","2629NEW106",NA,NA,"Dug well",4.3,NA,"Bedrock Not Met",1962-07-30,281260,306470,"to 1km","LISNAGUIVERAGH",NA,"Monaghan",28,NA,"Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/MON 744",NA,NA
"53","2629NEW107",NA,NA,"Dug well",3.7,NA,"Bedrock Not Met",1972-05-22,280340,305810,"to 1km","GREAGHDRUMIT",NA,"Monaghan",30,NA,"Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2629NEW108",NA,NA,"Dug well",2.4,NA,"Bedrock Not Met",1971-02-24,278840,305750,"to 1km","CORVALLY",NA,"Monaghan",30,NA,"Poor",NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 1745",NA,NA
"55","2629NEW112",NA,NA,"Borehole",29.3,NA,"Bedrock Not Met",1972-05-17,277310,303720,"to 1km","CORNALARAGH",NA,"Monaghan",30,NA,"Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2629NEW113",NA,NA,"Dug well",3.7,NA,"DTB Unknown",1973-06-08,280310,303720,"to 1km","LISATILLISTER",NA,"Monaghan",30,NA,"Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 2527",NA,NA
"57","2629NEW114",NA,NA,"Dug well",1.8,NA,"Bedrock Not Met",1964-04-17,276280,302600,"to 1km","GREAGHLONE",NA,"Monaghan",30,NA,"Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/MON 1056",NA,"WATER OVERFLOWING"
"58","2629NEW115",NA,NA,"Dug well",4.6,NA,"Bedrock Not Met",1971-02-23,277660,302250,"to 1km","CORLEA",NA,"Monaghan",30,NA,"Moderate",NA,49.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 2012",NA,NA
"59","2629NEW116",NA,NA,"Dug well",6.1,NA,"DTB Unknown",1973-08-28,277660,302210,"to 1km","CORLEA",NA,"Monaghan",30,NA,"Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 2629",NA,NA
"60","2629NEW117",NA,NA,"Dug well",3.7,NA,"DTB Unknown",1973-08-27,277660,302160,"to 1km","CORLEA",NA,"Monaghan",30,NA,"Moderate",NA,54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 2737",NA,NA
"61","2629NEW119",NA,NA,"Borehole",41.5,NA,"Bedrock Not Met",1972-06-16,283820,306190,"to 1km","CREEVY",NA,"Monaghan",31,"Unknown","Poor",NA,28.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2629NEW120",NA,NA,"Dug well",6.1,NA,"Bedrock Not Met",1970-12-22,287160,305990,"to 1km","RAHANS",NA,"Monaghan",31,NA,"Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 2169",NA,NA
"63","2629NEW121",NA,NA,"Borehole",25.6,NA,"Bedrock Not Met",1972-01-07,282380,305930,"to 1km","LEGGHIMORE",NA,"Monaghan",31,NA,"Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2629NEW122",NA,NA,"Borehole",11.9,8.2,"Bedrock Met",NA,282670,304610,"to 1km","DERRYOLAM",NA,"Monaghan",31,NA,"Moderate",NA,65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2629NEW123",NA,"LAND COMMISSION","Borehole",49.4,NA,"Bedrock Not Met",1956-08-15,285350,304500,"to 1km","COOLDERRY",NA,"Monaghan",31,"Agri & domestic use","Poor",NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2629NEW124",NA,"URBAN DISTRICT COUNCIL","Borehole",44.2,8.5,"Bedrock Met",1970-07-28,284510,303980,"to 1km","CARRICKMACROSS",NA,"Monaghan",31,"Public supply (Co Co)","Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2629NEW126",NA,NA,"Dug well",5.2,NA,"Bedrock Not Met",1971-01-10,289010,303900,"to 1km","GARLEGOBBAN",NA,"Monaghan",31,NA,"Moderate",NA,49.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2629NEW127",NA,NA,"Borehole",22.5,15.2,"Bedrock Met",NA,281530,302080,"to 1km","CORDUFF (KELLY)",NA,"Monaghan",31,NA,"Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by Barham Bos, Belturbet",NA,NA
"69","2629NEW128",NA,NA,"Borehole",24.4,NA,"Bedrock Not Met",1970-11-20,281820,302800,"to 1km","DERRYLAVAN",NA,"Monaghan",31,NA,"Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 1697",NA,NA
"70","2629NEW129",NA,NA,"Borehole",35.4,NA,"DTB Unknown",NA,284550,300730,"to 1km","LEONSGARVE",NA,"Monaghan",31,NA,"Good",NA,261.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 2297",NA,NA
"71","2629NEW130",NA,NA,"Dug well",3,NA,"Bedrock Not Met",1965-12-16,286250,300050,"to 1km","CORKEERAN",NA,"Monaghan",31,NA,"Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 602",NA,NA
"72","2629NEW131",NA,NA,"Borehole",45.7,NA,"Bedrock Not Met",1963-10-18,288490,309910,"to 1km","CARGAGHLISNANARNEY",NA,"Monaghan",28,NA,"Poor",NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/MON 854",NA,NA
"73","2629NEW132",NA,NA,"Borehole",28,20.4,"Bedrock Met",1970-09-15,282300,306570,"to 1km","DRUMBROAGH",NA,"Monaghan",28,NA,"Poor",NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2629NEW133",NA,NA,"Borehole",25,NA,"Bedrock Not Met",1972-04-17,281890,308610,"to 1km","CASHLAN WEST",NA,"Monaghan",28,NA,"Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2629NEW281","ILC 292",NA,"Borehole",49.5,NA,"DTB Unknown",1956-08-11,285390,304580,"to 1km","COOLDERRY",NA,"Monaghan",31,"Domestic use only","Poor",NA,32.7,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,"ADJACENT TO HOUSE","CLEAN WATER. BAILING TEST."
"76","2629NEW283",NA,NA,"Dug well",5.2,NA,"Bedrock Not Met",NA,277960,309290,"to 1km","CORBANE",NA,"Monaghan",27,"Unknown","Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","2629NEW284",NA,NA,"Dug well",3.7,NA,"Bedrock Not Met",1963-08-01,278440,308760,"to 1km","GREAGHLANE",NA,"Monaghan",27,NA,"Poor",NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/MON 823",NA,NA
"78","2629NEW285",NA,NA,"Borehole",10.4,NA,"Bedrock Not Met",1972-10-11,278440,308820,"to 1km","GREAGHLANE",NA,"Monaghan",27,NA,"Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","2629NEW287","ILC 162",NA,"Borehole",26.1,NA,"Bedrock Not Met",1954-07-27,285320,304740,"to 1km","COOLDERRY",NA,"Monaghan",31,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,21,27,38,NA,NA,NA,NA,"ABANDONED."
"80","2629NWW001",NA,NA,"Dug well",3.7,0.6,"Bedrock Met",NA,270000,309800,"to 1km","DRUMCUNNION",NA,"Monaghan",26,NA,"Poor",NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 1170",NA,NA
"81","2629NWW002",NA,NA,"Dug well",4,1.2,"Bedrock Met",1972-09-15,270000,309760,"to 1km","DRUMCUNNION",NA,"Monaghan",26,NA,"Poor",NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grey rock.",NA,NA
"82","2629NWW003",NA,NA,"Dug well",5.2,1.2,"Bedrock Met",1970-03-15,270000,309720,"to 1km","DRUMCUNNION",NA,"Monaghan",26,NA,"Poor",NA,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 2033",NA,NA
"83","2629NWW004",NA,NA,"Dug well",4.9,1.8,"Bedrock Met",NA,270000,309660,"to 1km","DRUMCUNNION",NA,"Monaghan",26,NA,"Poor",NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 1094",NA,NA
"84","2629NWW005",NA,NA,"Dug well",NA,0.6,"Bedrock Met",1962-09-15,270000,309620,"to 1km","DRUMCUNNION",NA,"Monaghan",26,NA,"Poor",NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2629NWW006",NA,NA,"Dug well",3.1,0.9,"Bedrock Met",NA,272070,309480,"to 1km","FAIRTAHY",NA,"Monaghan",27,NA,"Poor",NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 1405",NA,NA
"86","2629NWW007",NA,NA,"Dug well",3.7,NA,"DTB Unknown",NA,271450,308960,"to 1km","CORRACHARRA",NA,"Monaghan",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 949",NA,NA
"87","2629NWW008",NA,NA,"Dug well",3.1,1.2,"Bedrock Met",NA,271450,308910,"to 1km","CORRACHARRA",NA,"Monaghan",27,NA,"Poor",NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 1118",NA,NA
"88","2629NWW009",NA,NA,"Dug well",2.7,NA,"DTB Unknown",1970-10-30,274840,308920,"to 1km","SREENTY",NA,"Monaghan",27,NA,"Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","2629NWW010",NA,NA,"Dug well",3.1,NA,"DTB Unknown",1970-09-21,274840,308860,"to 1km","SREENTY",NA,"Monaghan",27,NA,"Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","2629NWW011",NA,NA,"Dug well",2.4,0.6,"Bedrock Met",1969-04-14,272980,308190,"to 1km","SHANKILL",NA,"Monaghan",27,NA,"Poor",NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 1791",NA,NA
"91","2629NWW012",NA,NA,"Dug well",4.6,0.6,"Bedrock Met",1971-05-15,272980,308140,"to 1km","SHANKILL",NA,"Monaghan",27,NA,"Poor",NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","2629NWW013",NA,NA,"Dug well",2.7,0.6,"Bedrock Met",1971-05-15,271940,307910,"to 1km","LISNADARRAGH",NA,"Monaghan",27,NA,"Poor",NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2631NEW003",NA,NA,"Dug well",1.8,0.6,"Bedrock Met",1967-06-20,277070,329860,"to 1km","FINTULLY",NA,"Monaghan",14,NA,"Poor",NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"grey bedrock. WTB/MON 1082",NA,NA
"94","2631NEW004",NA,NA,"Dug well",2.4,0.6,"Bedrock Met",1971-05-15,276090,329560,"to 1km","CARRICKADERRY",NA,"Monaghan",14,NA,"Poor",NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","2631NEW005",NA,NA,"Dug well",2.4,0.6,"Bedrock Met",1973-01-15,276240,328860,"to 1km","GALLAGH",NA,"Monaghan",14,NA,"Poor",NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","2631NEW006",NA,NA,"Dug well",10.7,1.8,"Bedrock Met",1965-09-10,276240,328520,"to 1km","GALLAGH",NA,"Monaghan",14,NA,"Poor",NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"grey bedrock. WTB/MON 1102",NA,"Date Nov-1967"
"97","2631NEW007",NA,NA,"Dug well",3.7,0.9,"Bedrock Met",1965-07-29,278570,328820,"to 1km","COOLARTRAGH",NA,"Monaghan",14,NA,"Poor",NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MON 903",NA,NA
"98","2631NEW008",NA,NA,"Dug well",2.4,2.1,"Bedrock Met",1961-07-29,276690,327440,"to 1km","AVALREAGH",NA,"Monaghan",14,NA,"Poor",NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/MON 794, WTB/MON 311",NA,NA
"99","2631NEW009",NA,NA,"Dug well",4.3,0.9,"Bedrock Met",1971-08-15,278940,327010,"to 1km","TASSAN",NA,"Monaghan",14,NA,"Poor",NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
